seconds,t_motor,t_ambient
3012.23,35.81,22.25
3016.33,35.81,22.25
3020.43,35.81,22.25
3024.52,35.81,22.25
3028.62,35.81,22.25
3032.71,35.81,22.25
3036.81,35.81,22.25
3040.91,35.81,22.25
3045.0,35.81,22.25
3049.1,35.81,22.25
3053.19,35.81,22.25
3057.29,35.81,22.25
3061.39,35.81,22.25
3065.48,35.81,22.25
3069.58,35.88,22.25
3073.67,35.81,22.25
3077.77,35.81,22.25
3081.87,35.88,22.25
3085.96,35.88,22.25
3090.06,35.88,22.25
3094.15,35.88,22.25
3098.25,35.81,22.25
3102.35,35.88,22.25
3106.44,35.88,22.25
3110.54,35.81,22.25
3114.63,35.88,22.25
3118.73,35.88,22.25
3122.83,35.88,22.25
3126.92,35.88,22.25
3131.02,35.88,22.25
3135.11,35.81,22.25
3139.21,35.88,22.25
3143.31,35.88,22.25
3147.4,35.81,22.187
3151.5,35.88,22.25
3155.59,35.88,22.25
3159.69,35.88,22.25
3163.79,35.88,22.312
3167.88,35.88,22.312
3171.98,35.88,22.25
3176.07,35.88,22.25
3180.17,35.88,22.25
3184.27,35.88,22.25
3188.36,35.88,22.25
3192.46,35.88,22.25
3196.55,35.88,22.25
3200.65,35.88,22.25
3204.75,35.88,22.25
3208.84,35.88,22.25
3212.94,35.88,22.25
3217.03,35.88,22.25
3221.13,35.88,22.25
3225.23,35.88,22.25
3229.32,35.88,22.25
3233.42,35.88,22.25
3237.51,35.88,22.25
3241.61,35.88,22.25
3245.71,35.88,22.25
3249.8,35.88,22.25
3253.9,35.88,22.25
3257.99,35.88,22.25
3262.09,35.94,22.25
3266.19,35.88,22.25
3270.28,35.88,22.25
3274.38,35.94,22.25
3278.47,35.88,22.187
3282.57,35.88,22.187
3286.67,35.88,22.25
3290.76,35.88,22.187
3294.86,35.94,22.25
3298.95,35.88,22.25
3303.05,35.88,22.25
3307.15,35.88,22.25
3311.24,35.88,22.25
3315.34,35.88,22.25
3319.43,35.88,22.25
3323.53,35.88,22.25
3327.63,35.94,22.25
3331.72,35.88,22.25
3335.82,35.88,22.25
3339.91,35.88,22.25
3344.01,35.94,22.25
3348.11,35.94,22.25
3352.2,35.94,22.25
3356.3,35.94,22.25
3360.39,35.94,22.187
3364.49,35.94,22.25
3368.59,35.94,22.187
3372.68,35.94,22.187
3376.78,35.94,22.25
3380.87,35.94,22.25
3384.97,35.94,22.25
3389.07,35.94,22.25
3393.16,35.94,22.25
3397.26,35.94,22.25
3401.36,35.94,22.25
3405.45,35.94,22.25
3409.55,35.94,22.25
3413.64,35.94,22.25
3417.74,35.94,22.25
3421.83,35.94,22.25
3425.93,36.0,22.187
3430.03,35.94,22.25
3434.12,35.94,22.25
3438.22,35.94,22.25
3442.31,35.94,22.25
3446.41,35.94,22.25
3450.51,35.94,22.25
3454.6,35.94,22.25
3458.7,36.0,22.25
3462.79,35.94,22.25
3466.89,36.0,22.25
3470.99,36.0,22.187
3475.08,36.0,22.25
3479.18,35.94,22.25
3483.27,35.94,22.25
3487.37,36.0,22.25
3491.47,35.94,22.25
3495.56,35.94,22.25
3499.66,36.0,22.25
3503.75,35.94,22.25
3507.85,35.94,22.25
