seconds,t_motor,t_ambient
2729.57,25.75,22.81
2733.66,25.75,22.81
2737.76,25.75,22.75
2741.85,25.81,22.75
2745.95,25.75,22.81
2750.05,25.75,22.81
2754.14,25.81,22.81
2758.24,25.75,22.81
2762.33,25.75,22.75
2766.43,25.75,22.81
2770.53,25.75,22.75
2774.62,25.81,22.75
2778.72,25.75,22.75
2782.81,25.75,22.75
2786.93,25.75,22.75
2791.04,25.75,22.75
2795.13,25.75,22.75
2799.23,25.75,22.75
2803.33,25.75,22.81
2807.42,25.75,22.75
2811.52,25.75,22.75
2815.61,25.69,22.75
2819.71,25.69,22.75
2823.81,25.75,22.75
2827.9,25.75,22.75
2832.0,25.75,22.75
2836.09,25.75,22.75
2840.19,25.75,22.81
2844.29,25.75,22.81
2848.38,25.75,22.75
2852.48,25.75,22.75
2856.57,25.75,22.75
2860.67,25.75,22.81
2864.77,25.75,22.75
2868.86,25.75,22.75
2872.96,25.75,22.75
2877.05,25.75,22.75
2881.15,25.75,22.81
2885.25,25.81,22.75
2889.34,25.75,22.81
2893.44,25.75,22.81
2897.53,25.75,22.81
2901.63,25.75,22.81
2905.73,25.75,22.75
2909.82,25.75,22.81
2913.92,25.75,22.75
2918.01,25.69,22.75
2922.11,25.69,22.81
2926.21,25.69,22.81
2930.3,25.69,22.81
2934.4,25.69,22.81
2938.49,25.75,22.75
2942.59,25.75,22.75
2946.69,25.75,22.75
2950.78,25.75,22.75
2954.88,25.75,22.75
2958.97,25.69,22.75
2963.07,25.69,22.75
2967.17,25.69,22.75
2971.26,25.69,22.75
2975.36,25.69,22.75
2979.45,25.75,22.75
2983.55,25.69,22.75
2987.65,25.69,22.75
2991.74,25.75,22.75
2995.84,25.69,22.75
2999.93,25.75,22.75
3004.03,25.69,22.75
3008.13,25.69,22.75
3012.22,25.69,22.75
3016.32,25.69,22.81
3020.41,25.69,22.75
3024.51,25.69,22.75
3028.61,25.75,22.75
3032.7,25.69,22.75
3036.8,25.69,22.75
3040.89,25.69,22.75
3044.99,25.69,22.75
3049.09,25.75,22.75
3053.18,25.69,22.75
3057.28,25.69,22.75
3061.37,25.69,22.75
